1776117984.3748984,-59.0,2
1776117985.6214075,-59.0,2
1776117986.8709052,-59.0,2
1776117988.1156578,-59.0,2
1776117989.3616714,-59.0,2
1776117990.6072128,-59.0,2
1776117991.850294,-59.0,2
1776117993.101253,-59.0,2
1776117994.3437374,-59.0,2
1776117995.588961,-59.0,2
1776117996.8488355,-59.0,2
1776117998.098068,-59.0,2
1776117999.3537092,-59.0,2
1776118000.6301537,-59.0,2
1776118001.8834496,-59.0,2
1776118003.1572022,-59.0,2
1776118004.4223123,-59.0,2
1776118005.673971,-59.0,2
1776118006.9238687,-59.5,2
1776118008.1838822,-59.5,2
1776118009.4508688,-59.5,2
1776118010.713776,-59.5,2
1776118011.9598546,-59.5,2
1776118013.2213087,-59.5,2
1776118014.4753954,-59.5,2
1776118015.7292154,-59.5,2
1776118016.9824126,-59.5,2
1776118018.2300444,-59.5,2
1776118019.479402,-59.5,2
1776118020.7292562,-59.5,2
1776118021.9831648,-59.5,2
1776118023.2307842,-59.5,2
1776118024.4884474,-59.5,2
1776118025.7392988,-59.0,2
1776118026.9899893,-59.0,2
1776118028.2372508,-59.0,2
1776118029.4873972,-59.5,2
1776118030.7393236,-59.5,2
1776118031.9849987,-59.5,2
1776118033.2335715,-59.5,2
1776118034.4831371,-59.5,2
1776118035.7309349,-59.5,2
1776118036.9757664,-59.5,2
1776118038.221867,-59.5,2
1776118039.4715908,-59.5,2
1776118040.7239745,-59.5,2
1776118041.9861739,-59.5,2
1776118043.253301,-59.5,2
1776118044.5038962,-59.5,2
1776118045.750697,-59.5,2
1776118046.999197,-59.5,2
1776118048.2473545,-59.5,2
1776118049.4977846,-59.5,2
1776118050.7489157,-59.0,2
1776118051.9972768,-59.0,2
1776118053.2442894,-59.0,2
1776118054.500431,-59.0,2
1776118055.7496116,-59.0,2
1776118056.99902,-59.0,2
1776118058.2489474,-59.0,2
1776118059.5052352,-59.0,2
1776118060.7565598,-59.0,2
1776118062.023007,-59.0,2
1776118063.2743902,-59.0,2
1776118064.5234284,-59.0,2
1776118065.7740526,-59.0,2
1776118067.025228,-59.0,2
1776118068.2743146,-59.0,2
1776118069.525242,-59.0,2
1776118070.771507,-59.0,2
1776118072.0221398,-59.5,2
1776118073.271734,-59.5,2
1776118074.530773,-59.5,2
1776118075.7800362,-59.5,2
1776118077.0285783,-59.5,2
1776118078.2778478,-59.5,2
1776118079.524649,-59.5,2
1776118080.7785752,-59.5,2
1776118082.0339825,-59.5,2
1776118083.313802,-59.5,2
1776118084.5618172,-59.5,2
1776118085.811049,-59.5,2
1776118087.0590432,-59.5,2
1776118088.3129442,-59.5,2
1776118089.5590563,-59.5,2
1776118090.8061643,-59.5,2
1776118092.082151,-59.5,2
1776118093.326809,-59.5,2
1776118094.5762866,-59.5,2
1776118095.827546,-59.5,2
1776118097.0765169,-59.5,2
1776118098.3266518,-59.5,2
1776118099.5742285,-59.5,2
1776118100.8216658,-59.5,2
1776118102.070273,-59.5,2
1776118103.316533,-59.5,2
1776118225.2605195,-59.0,3
1776118226.5104377,-59.0,3
1776118227.756049,-59.0,3
1776118229.0128136,-59.0,3
1776118230.262774,-59.0,3
1776118231.5065222,-59.0,3
1776118232.7513819,-59.0,3
1776118233.9951775,-59.0,3
1776118235.243702,-59.0,3
1776118236.498287,-59.0,3
1776118237.746724,-59.0,3
1776118238.9914486,-59.0,3
1776118240.239331,-59.0,3
1776118241.4823134,-59.0,3
1776118242.7288716,-59.0,3
1776118243.985611,-59.0,3
1776118245.2303882,-59.0,3
1776118246.477448,-59.0,3
1776118247.73442,-59.5,3
1776118248.984746,-59.5,3
1776118250.237803,-59.5,3
1776118251.4842253,-59.5,3
1776118252.731167,-59.5,3
1776118253.9794562,-59.5,3
1776118255.2278352,-59.5,3
1776118256.4792783,-59.5,3
1776118257.7232647,-59.5,3
1776118258.9707022,-59.5,3
1776118260.2245324,-59.5,3
1776118261.470048,-59.5,3
1776118262.7202826,-59.5,3
1776118263.966349,-59.5,3
1776118265.2216187,-59.5,3
1776118266.4744053,-59.5,3
1776118267.7352812,-59.5,3
1776118268.9830618,-59.5,3
1776118270.2298572,-59.5,3
1776118271.4776475,-59.5,3
1776118272.7313414,-59.5,3
1776118273.9797385,-59.5,3
1776118275.225139,-59.5,3
1776118276.4691682,-59.5,3
1776118277.7150905,-59.5,3
1776118278.9563808,-59.5,3
1776118280.2011263,-59.5,3
1776118281.4419782,-59.5,3
1776118282.6829805,-59.5,3
1776118283.9317281,-59.5,3
1776118285.1787236,-59.5,3
1776118286.4358275,-59.5,3
1776118287.6788235,-59.5,3
1776118288.922653,-59.5,3
1776118290.164631,-59.5,3
1776118291.4065886,-59.5,3
1776118292.64696,-59.5,3
1776118293.8988905,-59.5,3
1776118295.1410635,-59.5,3
1776118296.3932028,-59.0,3
1776118297.6380289,-59.0,3
1776118298.8817205,-59.0,3
1776118300.1261513,-59.0,3
1776118301.3709612,-59.0,3
1776118302.6135058,-59.0,3
1776118303.8556724,-59.0,3
1776118305.0984466,-59.0,3
1776118306.3426635,-59.0,3
1776118307.5823424,-59.0,3
1776118308.8275213,-59.0,3
1776118310.0699577,-59.0,3
1776118311.3151805,-59.0,3
1776118312.556802,-59.0,3
1776118313.8085666,-59.0,3
1776118315.0463822,-59.0,3
1776118316.3090622,-59.0,3
1776118317.5644362,-59.0,3
1776118318.818916,-59.0,3
1776118320.063567,-59.0,3
1776118321.3263183,-59.0,3
1776118322.567912,-59.0,3
1776118323.809916,-59.0,3
1776118325.0701036,-59.0,3
1776118326.3134775,-59.0,3
1776118327.559558,-59.0,3
1776118328.8006895,-59.0,3
1776118330.038839,-59.0,3
1776118331.2811246,-59.0,3
1776118332.523243,-59.0,3
1776118333.7661366,-59.0,3
1776118335.0082047,-59.5,3
1776118336.2481265,-59.5,3
1776118337.4917107,-59.5,3
1776118338.7467167,-59.5,3
1776118339.9909587,-59.5,3
1776118341.2526913,-59.5,3
1776118342.5000021,-59.5,3
1776118343.7461493,-59.5,3
1776118344.9864957,-59.5,3
1776119107.393769,-59.5,1
1776119108.6414213,-59.5,1
1776119109.8829193,-59.5,1
1776119111.1283658,-59.5,1
1776119112.388171,-59.5,1
1776119113.6304715,-59.5,1
1776119114.8722537,-59.5,1
1776119116.1160593,-59.5,1
1776119117.3614128,-59.5,1
1776119118.60344,-59.5,1
1776119119.8471165,-59.5,1
1776119121.0887175,-59.5,1
1776119122.3342311,-59.5,1
1776119123.573579,-59.5,1
1776119124.8106406,-59.5,1
1776119126.0542943,-59.5,1
1776119127.297024,-59.5,1
1776119128.5440845,-59.5,1
1776119129.7859879,-59.5,1
1776119131.0285695,-59.5,1
1776119132.2674148,-59.5,1
1776119133.5106814,-59.5,1
1776119134.7519813,-59.5,1
1776119135.9879982,-59.5,1
1776119137.2422886,-59.5,1
1776119138.4835038,-59.5,1
1776119139.7289498,-59.5,1
1776119140.970266,-59.5,1
1776119142.2206433,-59.5,1
1776119143.4639947,-59.5,1
1776119144.716299,-59.5,1
1776119145.9571867,-59.5,1
1776119147.2057114,-59.5,1
1776119148.4536502,-59.5,1
1776119149.6917002,-59.5,1
1776119150.9303694,-59.5,1
1776119152.1720989,-59.5,1
1776119153.4122798,-59.5,1
1776119154.656496,-59.5,1
1776119155.900099,-59.5,1
1776119157.1411355,-59.5,1
1776119158.3833277,-59.5,1
1776119159.624213,-59.5,1
1776119160.8673196,-59.5,1
1776119162.1055424,-59.5,1
1776119163.3497872,-59.5,1
1776119164.602187,-59.5,1
1776119165.8446555,-59.5,1
1776119167.089089,-59.5,1
1776119168.3391612,-59.5,1
1776119169.5819824,-59.5,1
1776119170.8227098,-59.5,1
1776119172.0633864,-59.5,1
1776119173.2984579,-59.5,1
1776119174.5417583,-59.5,1
1776119175.7816436,-59.5,1
1776119177.0275226,-59.5,1
1776119178.2678013,-59.5,1
1776119179.5128143,-59.5,1
1776119180.7614603,-59.5,1
1776119182.0178044,-59.5,1
1776119183.2632542,-59.5,1
1776119184.5040088,-59.5,1
1776119185.7433732,-59.5,1
1776119186.9826245,-59.5,1
1776119188.2241046,-59.5,1
1776119189.4637547,-59.5,1
1776119190.7057252,-59.5,1
1776119191.9561846,-59.5,1
1776119193.201216,-59.5,1
1776119194.4381015,-59.5,1
1776119195.6824648,-59.5,1
1776119196.926822,-59.5,1
1776119198.1678307,-59.5,1
1776119199.4141793,-59.5,1
1776119200.6605458,-59.5,1
1776119201.9141066,-62.5,1
1776119203.158574,-62.5,1
1776119204.4016843,-62.5,1
1776119205.644145,-62.5,1
1776119206.88516,-62.5,1
1776119208.132696,-64.0,1
1776119209.3768346,-64.0,1
1776119210.6221948,-64.0,1
1776119211.8665218,-64.0,1
1776119213.1132243,-64.0,1
1776119214.3567731,-64.0,1
1776119215.611407,-64.0,1
1776119216.8566787,-62.5,1
1776119218.0993545,-62.5,1
1776119219.343051,-62.5,1
1776119220.5876417,-62.5,1
1776119221.8304484,-62.5,1
1776119223.0769832,-62.5,1
1776119224.3212762,-62.5,1
1776119225.5628676,-62.5,1
1776119226.8150039,-62.5,1
